clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
01aNlDhbMObjc9OdAHuNpQ,0,2,,0,0.0896630363629,9.19615242271
VzUo-RURV3VnfNItAYM8yg,0,0,,0,0.0136828265821,10.94427191
3GfdCuI0YCc5U3rLLLPHUw,0,2,,0,0.045324615722,10.2360679775
H_eO04NZAQIDcbtFQ4BUag,1,0,,0,0.0874496039531,8.66025403784
2xbxXWeu3tpZEJdGTTGbLg,0,1,1.66335759656,0,0.0868637064412,9.66828837771
N3zuaqGESF5iZsi_md9c1Q,0,2,,0,0.0722843817983,9.73205080757
BKg8YIGX_5YyUczmBAyyCQ,0,0,,0,0.105012595903,8.92820323028
kABF0hYfAEnl166mn1zR1A,0,2,,0,0.141217796132,7.07106781187
5OqrwhtZ3mcmUSwLINZTWQ,0,1,,1,-0.0364437945729,11.3912739048
ky5L-EfUwU9chSPcIeXM5w,0,0,,0,0.127890654255,6.65685424949
WSGHEQdcdbBWXDpna99EiQ,0,0,,0,0.108062986522,7.61036598508
W8xPHUqL088jdcmNZyH-eA,0,0,,0,0.105383194954,9.41421356237
wpnLPAnkMEb1NpC3xiD_qg,0,0,,0,0.017324340141,11.1576936753
A6lKCuTrDSJ_eFKyumZCJQ,0,0,,0,0.0732727232256,10.7082039325
YkOCo5ipV2he2WXIAlZb-A,0,0,,0,0.103052933409,7.70674230226
HyoPFfBHLK0lKVHWEdFpvQ,0,0,,0,0.067762186265,10.2041867626
eBxQzBFLEPwRCxuiL50SQA,0,1,,1,0.0527263371634,11.8206051833
MpT8KheTjs7TSDWIoMUFxg,0,0,,0,0.0594671786945,8.70016959264
aTbz9GdpAf2M5MeAHVNhWw,0,2,,0,0.0671147745246,10.6763227176
hf761YTEXm0B1GdtGHGGYQ,0,0,,0,0.0949834902333,10.2041867626
1ZnVfS-qP19upP_fwOhZsA,0,0,,0,0.130772375999,7.07106781187
eV-5b1Bjtnn-QePN3t3taQ,0,2,,0,0.120630991426,6.65685424949
HPLB1Tr8ZB5UkD-2umKPdA,0,2,,0,0.13297352842,6.65685424949
ABlNn6tyCTfjiKteYnp53g,0,0,,0,0.0826976552205,8.87831517751
2PS9kBbuJcmBhcNp-D62uA,0,0,,0,0.0819078172475,9.73205080757
-sN_og_84rLW22CaE3cjVw,0,2,,0,0.0652440103445,10.2360679775
w6zW6gIyg1sI5V6Wag_SYg,0,2,,0,0.119114817753,7.70674230226
rIeXMt92PLNjZbemWKRXcA,0,2,,0,0.113818068528,8.02457954745
B_WggEKFq-ZFNui8CHPYvA,0,0,,0,0.116683356755,6.65685424949
XIDhO9YAhsCa0upSkMhGuw,0,1,,1,0.0206926615348,11.0805200359
y8d90Pt16Nip-B5UXWBP-w,0,2,2.59360803571,0,-0.00478773379185,12.6228116535
9mQGAVvNsUULaEPQpG9LuA,0,1,,1,-0.019341197376,11.5673770088
3pGA9YGsDLRQ7HJLw5cwcQ,0,0,,0,0.0853502483125,10.0
jJ2ca6wqp_YwTsdAWzplkQ,0,0,,0,0.0804260165203,8.02457954745
eDdhZZBHEi-TRWQ2xhRI5g,0,2,,0,0.105360891307,9.41421356237
D8a2usm9b-j89W9IrJ_Evw,0,2,,0,0.115066753154,8.66025403784
xEH00X_VoRepWKXQrragmw,0,1,,1,-0.0105435011177,11.8206051833
EWbNTPW0co_X4lZRB-QTLQ,0,2,,0,0.11914287381,7.70674230226
TrN8HBHBL4-Tu7cXMDoopQ,0,0,,0,0.129542989369,7.07106781187
-C8sSrFqaCxp51pyo-fQLQ,1,0,,0,0.062101692167,9.73205080757
OOHDPE3tilNC4md8Lcx_4Q,0,2,,0,0.033455970779,11.5845372058
hihud--QRriCYZw1zZvW4g,0,2,,0,0.0597486838105,7.56047793232
F06m2yQSPHIrb1IT7heYeQ,0,1,,0,0.0630848597085,10.0
JJAwT9R6Fp2yyWHtWFA8uQ,0,2,,0,0.0797041885297,6.87831517751
eiTWTVThkHr-DKXxIysbgA,0,0,,0,0.116607751614,6.56047793232
CVnfj-UBgOSEvcdt4eWUeA,0,0,,0,0.0648204022988,9.0
9cw870n3gsGikVoOT5YOYg,0,1,,1,-0.0244810385102,13.7767839964
POiWEckMIOqX7TgBxXgCzw,0,0,,0,0.0882407333116,10.472135955
McQsl_USMy6kfUz9J02Tdg,0,0,,0,0.11282143077,8.66025403784
9tLCuUmw3Tlco-tKPGkIWQ,0,0,,0,0.11264557543,6.24264068712
t6ZIBNrQjvtwor8W-u3sUg,0,0,,0,0.122561769334,6.65685424949
ZibmYdOPKLlqDM9oR6xzOA,0,2,,0,0.135967608768,7.07106781187
zdE82PiD6wquvjYLyhOJNA,0,2,,0,0.129896559907,5.41421356237
S_5VQYMMa4aD3NzgYLkvhg,0,0,,0,0.112983551073,7.70674230226
