clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
2px99IppAcnxR238eq_8_w,0,0,,1,0.121703754218,7.70674230226
cXdQ3H0GqcIzRgrvBEaBxw,0,1,,1,0.0733044662041,8.66025403784
qMJCVx6-ZYvZQHlfrZ_cug,0,1,,1,0.0610635936181,8.92820323028
fBmyj1okdO1p-GUzfQQohg,0,1,,1,0.141036570749,3.0
umrDQGRNied77aVg29_fVw,0,1,,1,0.0174085128306,12.0168667516
Y1WIH4jstH846oWcDnoZLw,0,0,,1,0.141600622122,6.24264068712
fS9a8AGrcwWPf_9vfn5wPQ,0,0,,0,0.157274206299,2.0
uWYzS46xqA_YA1D1INgbEQ,0,0,,0,0.133695094476,5.82842712475
aVKBmuvdDmEOgOfqaSF_xA,0,1,,1,0.0466274334356,9.70016959264
n8KZA9G4FvGqDBWIscpz9Q,0,0,,1,0.152311991967,5.0
kkEqZmVvVkgmCaOqE13mDg,0,1,,1,0.101645728188,8.66025403784
RtnTbhWYw4QjKhoTBV37OA,0,0,,0,0.0328455502501,11.8034449863
ePt0qmZgU-fjqMoM1M2U3Q,0,0,,1,0.129435645669,7.61036598508
2RsLaIEnNUIzjQyCvPCNWA,0,0,,0,0.0837198478632,10.0
U3TUTWRqbW9WeLeWMxi2tw,0,1,,1,0.0754036062724,10.0
-oOKqZbYDt08zaWWyLZNIw,0,1,,1,0.118648468565,5.41421356237
46LhKfz6MPaLYoS0jegsdw,0,0,,0,0.133698838017,3.0
g3w01guDiTLszguA3vUrSg,1,0,,0,0.0313055302176,12.0340269486
J7rkQISD48jXgdM6UxNAbw,0,1,,1,0.127689624472,7.07106781187
aY-lZvoTHAFl9k6dcfcAxQ,0,0,,1,0.148730519992,6.24264068712
EAs61Wm1O6tLjCs8t2eP-Q,0,1,,1,0.104348716156,8.02457954745
mBFGYVLh588BrvfmGsOhrA,0,1,,1,0.0333783602808,10.94427191
2g4ZTD3ePNSbDAvh6qAOKQ,0,1,,1,0.135598821696,7.07106781187
JQOmOqfoJgNOdFDQrBRmBw,0,1,,1,0.117778754799,8.66025403784
odVKlMYqb4FHJXManv-VRA,0,1,,1,0.0977108045618,8.34241679265
kzuQsq0KPWLeKFtnLXXyHg,0,1,,1,0.076106125274,9.73205080757
bWucOPNoIjd8ECdiDyVq9Q,0,0,,0,0.023341963432,11.1803398875
lcSsIw_oC-OT2veksCtRwg,0,1,,1,0.127725093458,6.24264068712
8IblwilNlenDVwBbEzQEVg,0,0,,1,0.126073108559,6.87831517751
cPEo3-TmIqCwHLFGKZgwGg,0,1,,1,0.152228690839,6.65685424949
vn5Ebwy-IdtJ6PQE6y7vaA,0,1,,1,0.0427524886792,11.1803398875
5j2ugUALtjsa2nkV1YGq5Q,0,0,,0,0.135962475881,6.65685424949
0C1ME-oi2GtsHr8xsV9fsA,0,1,,1,0.0887493779088,8.02457954745
dYU5hXVyPsm7C-T-13I_YQ,0,0,,0,0.133698838017,3.0
fnaDx7UD4MiodQlgYHDwsQ,0,0,,0,0.127551322287,6.24264068712
Gz9SlLqxS6wnxPvgdOQNrA,1,0,3.34841263775,0,-0.0931456738037,15.5956256821
Y6Vw0FF8Qz9XD8fY4Z9Vfg,0,1,,1,0.067259834176,9.73205080757
I4EmpNOW7zCcx7fUnQ9ixg,0,0,,0,0.157274206299,2.0
dHTGzM4_3kKEiQvab9mi9A,0,0,,0,0.119698577048,5.0
6UxZJhcZClFdHJcA4kEG_g,0,1,,1,0.052783626205,10.2041867626
uytrX0s6etYPCcMVC07KJw,0,0,,0,0.03322115173,11.3711154406
oa52t2Nfb7sOCqJE5M5hzg,0,0,,0,0.0922642745045,7.56047793232
6oKZoCI_0ePyzfRqSFMBig,1,0,,0,0.00371842200642,12.0340269486
tFcmrGLZNEymSnijoTPmqw,0,0,,0,0.116800036884,7.07106781187
2jx_SaBzvIdIwul4JoY9IA,0,1,,1,0.130109662207,6.97469149469
3dk9XrtorfOJu8yX6BVYRg,0,1,,1,0.112679832357,3.73205080757
Av5toUG7wweXfiX6FW4F0A,0,1,,1,0.0867613893597,8.02457954745
W9y-Bl9030-rmfxSTmUD_g,0,1,,1,0.123551188246,7.70674230226
I_a74zmgR-X03LsKISWPcg,0,1,2.5924794318,1,-0.01912813563,12.4265500852
k2c7nIIDgY-FD6Yk-I_3Ww,0,1,,1,0.0625909971586,10.94427191
kRgP3LxO2ugBrC1YpWLncA,0,0,,1,0.131049719336,6.24264068712
S37sKRRfkhFZRpxaYzWo_A,0,1,,1,0.130509147609,7.29252873988
SIBaomIYVvsMU0GTuqX4vQ,0,0,,0,0.0502125102345,11.1803398875
AwmLDzqJ0aMGZTYYoZnxWg,0,1,,1,0.136534492381,4.41421356237
fT6Uwl6abRQfiNgxre_qbg,0,0,,0,0.0697040176012,10.2041867626
U4OLUFb9VxMmpMXm1ZF-cQ,0,1,,1,0.141312261918,7.07106781187
xhyzmAnZp2snpBklfcr3Sw,0,0,,0,-0.0130294612289,13.411432369
TulmRC5V0--dnXYd_GOSvA,0,0,,1,0.141776259826,6.65685424949
zfiSQ1dl3vTJ-og96eqXGA,0,1,,1,0.141036570749,3.0
zXjA4Jms2jCAP09EO7Ghfg,0,1,,1,0.0928896401462,8.34241679265
ZCzey5aPhd7jYIoHsUfjmQ,0,0,2.85218234265,0,-0.0202321498156,13.95945981
t4P-8drZzj3TMwA_WU-4Zg,0,1,2.5845953799,1,0.00604443467541,11.1803398875
JWsq_5AX1vDi-cG7iMJQCA,0,1,,1,0.112679832357,3.73205080757
ZN8EHmoe4Xjy4q4Y8ROEfw,0,1,,1,0.151934459607,4.0
e6d50rwRTU-fONeSBJmOHQ,0,0,2.94506462649,0,-0.0603313286346,14.1310326853
ddLH_-W5Gr9Az4M5Xo981w,0,0,,0,0.12047586376,5.41421356237
4zNvBpxABIbXR4GUbwO3Ow,0,0,,0,0.11964262828,6.97469149469
079CV1EE5WLdQqVEVYFeHQ,0,0,,0,0.113478287508,7.92820323028
URFhSrJPk7JM2pUtsuWsAg,0,0,,1,0.110159434367,8.02457954745
3SozmlI5K7xapJBE41Ah1g,0,0,,0,0.089098537437,9.46410161514
0NgePUfXd2TG0kWgsQRq0A,0,1,,1,0.112679832357,3.73205080757
SBNucLXc9dQP6VBj__XOmQ,0,0,,0,0.092232077831,8.02457954745
n62dcL1e8BQA1_kUEYrldQ,0,0,,0,0.134119642187,6.24264068712
jCg6MSfu3fgXxO2QrpDV7w,0,1,,1,0.11144741848,6.56047793232
HTAAMVDZ4P0VX5F9euJBoA,0,0,,1,0.157728995921,6.24264068712
h7As2jB8bhfFxCMCvdssWA,0,0,,1,0.0876527230152,8.56047793232
5h2DIYpfzc7KDTFg18uuew,0,1,,1,0.0595435949156,9.73205080757
5zk3LxFzijmY2JipVZ7Xdg,0,1,,1,0.136534492381,4.41421356237
0PFf3RKtDQyHnrdcPo8zMQ,0,1,,1,0.0890233379806,8.34241679265
pB9ZZGJaApSw2PMcOTc8og,0,0,,0,0.0722786900055,8.87831517751
aJR1iUWwNVBM692gq7adBA,0,1,,1,0.132742530394,6.24264068712
_XN-GwzZwAyIqLKJsl2htg,0,0,,0,0.0231507985302,11.8206051833
drIFrAyZnyismS1ArZlmAg,0,1,,1,0.0943703737805,9.46410161514
kP2wC0luve3mT5fcdrA3nQ,0,0,,0,0.142719963053,5.82842712475
GA_Nx4xA3Z4pn9i5XKF1Wg,0,0,,0,0.0309395074273,11.5845372058
JhEtJbGjAqKDHCZ11i3qoQ,0,1,,1,0.143599992163,4.41421356237
4sn2a0QzxTmAO3-mxi1s7g,0,1,,1,0.0970639511672,8.34241679265
9ibMbke1qYbmhJ2Qf3tWfA,0,1,,1,0.142971723732,6.65685424949
3JxKzWquEbPC3yPIfoCiLw,0,0,,1,0.162478451476,5.0
6WDDksGLLehfQDIvQXzR5w,0,1,,1,0.0996432612264,8.02457954745
9_HgBRUXUg_vKjTT-GSulA,0,1,,1,0.123411157251,6.56047793232
DZpUH96f1Uomk7N8FlZLjg,0,1,,1,0.0963966739523,8.02457954745
cHdJXLlKNWixBXpDwEGb_A,0,1,,1,0.105743898411,9.19615242271
6H78unzSy1z4AafKHIsmTQ,0,1,,1,0.0658298825075,10.2041867626
w3RH9W99ZIKvw0Qgibdn4w,0,1,,1,0.0301294250551,10.4402547401
cm5pya6toFXn6sJT4FVGyg,0,0,,0,0.136090773338,7.07106781187
dqeUvrlMxTAk0VL2n1ukaw,0,1,,1,0.136636950142,6.65685424949
v0YATh4rCiPlBpSyNmh3tQ,0,0,,0,0.0587490621063,10.6855577203
w2-A-qlxtGTgT6KgQv8RdA,0,0,,1,0.0476565370384,10.7082039325
JkzqS4JDOpoHrj534rzvAA,0,1,,1,0.0378040696372,11.1803398875
3c8GQB0RiXK5ceRSpo5dow,0,1,,1,0.135231407632,5.82842712475
UUtWoDyREiy9MPdtTRFUYQ,0,0,,0,0.138138883817,7.07106781187
BJW6rCMoWcn8fDFhbMVyEQ,0,0,,0,0.0950668641733,8.66025403784
R7-3MCD6_RL_VxN65yCh2Q,0,1,,1,0.0771621820142,9.73205080757
9IIhExGT0f6x26hTjyBbrw,0,1,,1,0.105020128589,8.34241679265
wMOioy2KAoI2AnpbqwxdOg,0,0,,0,0.109057952494,8.29252873988
24YIAXzArY1w2GXzoUbcmw,0,1,,1,0.151934459607,4.0
rEAFZFziiOWxSLsOLohccQ,0,0,,0,0.110329302499,6.24264068712
7SemopLjhDc3IQkI-JUYdQ,0,1,2.73050242298,1,-0.00433026472994,13.1844248491
G9m4TMsKGnWbDavqlg6NXg,0,1,,1,0.10667227363,6.56047793232
cJzv3fbd7jL2ZHyFosFkOw,0,1,,1,0.0710138148121,9.73205080757
nChi_8Gygb6NUMa_kg_tlQ,0,0,,1,0.0619944428925,9.70016959264
twrfUEK_7kTOLOL96oPYyw,0,1,,1,0.143599992163,4.41421356237
0HgLKI1T9WT3hJXskDtUrQ,0,1,,1,0.0724297900207,11.1803398875
E8ugJa02FVCgfnjqV817iw,0,1,,1,0.0882509050367,8.34241679265
Pj9DDbTmjBEKXezLb0qmTw,0,1,,1,0.111270393171,7.70674230226
VMr8sgoQOW0fo0qVJENajA,0,0,,0,0.00178409481541,12.2131283199
yvwK4MO2qnSZE5ggYGyk1A,0,0,,0,0.157274206299,2.0
k_SfP93Tmlpmx-5OL1JmTg,0,0,,0,0.0154202847611,11.9942205394
DncR06kFZ_u2O4NlbPPE4w,0,1,,1,0.0453869296039,9.93623757014
oMBNvB6tHlwW3UwGBYqljw,0,1,,1,0.12366543276,7.38890505706
HV3Q2JYwK9AvMHPYXcxzag,0,1,,1,0.149997734058,6.65685424949
TuQ6d7Frx3Gds7uyWB1TQA,0,1,,1,0.0136643532048,11.8206051833
34VuBMNaG9nJiyqsnoEgPg,0,0,,0,0.0587189316969,9.19615242271
baIT89GubjGJV1mpn82Eeg,0,1,2.85115991653,1,-0.0644535147517,12.4265500852
60qcZ_mzu-IP82GtANZ6lw,0,1,,1,0.112724031945,8.02457954745
dUOueknc1hk6m78AaiIwuQ,0,0,,1,0.164037487703,4.41421356237
gogO5RF4Rqz2THF1ATcCew,0,0,,0,0.096793743013,7.92820323028
jPQxZTuFhuVHsu-DI4hm2A,0,1,,1,0.127456468752,7.07106781187
KkmSbkWOWC3DtY-Sxa9PmQ,0,0,,1,0.164037487703,4.41421356237
R1oI13c1oNxE91wkjYDeow,0,0,,0,0.131167469925,7.07106781187
FsCujpVh9Za2Dl5MIYLCxA,0,0,,0,0.0251377644567,11.1576936753
9bHywYi5Kf4QUkRE8ALCDQ,0,1,,1,0.0971027144165,7.70674230226
qAbXHsddBhmfQFegGiV7Dg,0,1,,1,0.133810014751,6.65685424949
5WhDd9MnacntXYURmvgMZA,0,1,,1,0.113198166285,8.02457954745
nQVPgOqVrNIWhY3F5kS79g,0,1,,1,0.0143970439466,10.4402547401
OtGSQQzV7uF8XPAsNIh7Bw,1,0,3.13075243071,0,-0.0666124743115,14.4197963742
taXKuFldSoerm9SXrckh_w,0,1,,1,0.117800530426,6.97469149469
I7eqTdTmRTWYwF9HNZAHxw,0,0,,0,0.157274206299,2.0
SbxJg9yYyIclmPDSur1FCQ,0,1,,1,0.0976753699019,9.19615242271
ruo16t1qd2aywwUE47Ojnw,0,1,,1,0.0511364346382,10.94427191
kxAqrCuEqnLI_F3vEfDtRQ,0,1,,1,0.022573737494,10.94427191
myw0csRck6XG4w5Z-EFyqg,0,1,,1,0.141036570749,3.0
URa75T-A1QvjMUFNIPyukQ,0,1,,1,0.0905624525887,7.61036598508
SMXmELJ8jFBPDq3VWRlLeQ,0,0,,0,0.133698838017,3.0
Xfod0UWr_9B-TOM6qxVIwQ,0,1,,1,0.134840777151,6.24264068712
puQ2WGO0L2KvKqNQCJYZRw,0,1,,1,-0.0152236570004,11.6071834181
YBIhTjmEH3IEZW4Dr5ReRA,0,0,,1,0.139442867931,6.65685424949
trsKoo2b9-nMcXCKn8dlfQ,0,1,,1,0.140567601302,6.65685424949
4ps8XJFZWi9nNwiWUcycVA,0,0,,1,0.140826725032,6.65685424949
atSfDP-SLY4GrvBlBPB31Q,0,1,,1,0.00915327783794,10.94427191
LQ-gMAQLbPVxjrBYCJ1ApQ,0,0,,1,0.12507209242,6.65685424949
cwWQB8LyFbxxiOzgfZdWCg,0,0,,0,0.123581004326,5.0
A2eA3LRbptrexCGw8fu67Q,0,1,,1,0.0302613583058,10.7082039325
cmsAFAymfVoBitSF8R6GKw,0,0,,1,0.156546179993,4.0
ecJri9ozyke4dOCWulZiRQ,0,0,,0,0.141980354608,7.07106781187
HI56ArpYEbhEUeRx9Curpw,0,1,,1,0.125528010732,6.65685424949
gBEWJ4b2OvUmN4Oh7ju3hw,0,0,,1,0.132683360457,6.65685424949
KXLjOJbl9VYXFxKT4YK99Q,0,1,,1,0.114987327343,7.70674230226
TdjydrOFUSMUsTKdlXW6aQ,0,1,,1,0.0860563497866,9.46410161514
K3J4zvnQ_G1d5xfffPf2Wg,0,1,,1,-0.00455944464112,11.9770603424
1o03kXj4zA-_SvN1HfqNyg,0,1,2.7749849443,1,-0.0286384232179,13.3978466144
J5lgLvoKPzNqGCGPbznh-Q,0,1,,1,0.0118458077916,10.8897444829
lEtpTFWetCf6xnzeImLiHg,0,0,,0,0.103827865122,7.61036598508
MBsIf01fcA8Vy7vCMMKf2A,0,0,,0,0.141686505967,7.07106781187
6ZIHxvFTHC1pvAzAS0uLDA,0,1,,1,0.0527263376038,9.73205080757
JCmyrBoNl2qfZ-f8I5RA3A,0,0,,0,0.0964504723273,7.61036598508
puPY7gVy7RCz8bK1zkzdoQ,0,1,,1,0.134853973137,6.24264068712
OBnqMdIsS8vWPrzPtnlb-w,0,1,,1,0.109638714128,8.66025403784
