clusters_sp,clusters_km,distance_km,clusters_gm,scores_isf,distance_knn
LPCFfrQow0kl7EABuM7VDA,1,1,,2,0.0948984532546,6.65685424949
abO4gvGKB0aVjsrXHlgeFg,1,1,,2,-0.00174797358757,11.8206051833
-4bPFENRdTqjML8aKEL6ow,1,1,,2,0.0711321083238,9.46410161514
CAhoEZPcAEvBSoCxn_fAjQ,0,0,,1,0.0695110724427,5.56047793232
96DHi-xkBB3CtsQRTPUjxQ,1,1,,2,0.100907009961,5.82842712475
bNHeKmkBx5emT9xLfdWyjw,1,1,,2,0.109392296008,5.24264068712
L82O1ZFFQfjJxF0_PYWPnA,1,0,2.55147788684,3,-0.023984682557,11.7979589711
jniApOOS8ppUHhESL7OzTg,1,0,,1,0.0647876756551,9.14626436994
Qmwfg-PtYuCo5Q_IwcA_HQ,1,1,,3,0.0149848856177,10.0
H5poGfDHCDMip7VYi7u8Rg,1,1,,2,0.0407469546999,9.73205080757
8I5U8OQ06nSxX2y4PPOWzQ,1,1,,2,0.0907714324733,6.65685424949
PUneCUDGvdgnay3uvI89fA,1,1,,0,-0.00304854790537,10.9216256978
eQRopptwTiGRGOqo5RWxbg,1,1,,2,0.0972322161981,8.34241679265
G9jwU3O0HOXTHt43eJi2mg,1,1,,3,0.0141152627608,10.94427191
KBWLCfWyfoXMvvBOXlABlw,0,0,,1,0.0545760076739,9.46410161514
fB-v-caPf0o3eUkp_2ua2Q,1,0,,1,0.039315397853,10.472135955
TAAlaXAk9sWOUXZW1-wfYQ,1,0,,3,0.00749368924426,11.3711154406
rjJM4xHdCKJRUpovQ-msAQ,1,1,,2,0.0797712857035,5.82842712475
9GLN1xfck07CKfNfejKCwg,1,0,,1,0.00701812753904,7.29252873988
MNIIRlWXotubOauSksv9AQ,1,1,,2,0.0440725294108,9.93623757014
XS80QAi1aYKK5v1zmKlkwA,0,0,,1,0.0337869843852,8.02457954745
zRxKrysFBrKH76yhyVdrRA,1,1,,2,0.0671714502326,8.66025403784
AVwE6GQmlCTAjaDbli4IKg,1,1,,2,0.101551048328,8.34241679265
PgxjXf7enBAyzjR9ftLZ2A,1,1,,2,0.0198583696412,9.472135955
PS5ghm09F2km76m4sQNJAw,1,0,,1,0.0653614256209,9.46410161514
2lo7N8RZOCS0DDxO6LPQhw,1,1,,0,0.0347403440129,9.93623757014
5kpaX40N0Mj0lx0awd9PmQ,1,0,,3,0.0404447186004,10.7082039325
4JxFc9_0epj0YJPcJy3Xsg,1,1,,0,0.0323798851899,10.0
A6bnXx1see4yZSaVVCVDyw,1,1,,0,-0.0227165085939,12.2131283199
s4IsetnGL_dUPb_7kgCfDQ,1,0,,1,0.0467688846476,9.73205080757
_RxOIjeOnTWrgTXoLxcrCg,0,0,,1,0.0409004340946,7.29252873988
e4BVOJgUnMih2v7KblGKcg,1,1,,2,0.0696996791492,9.46410161514
XCxxPZ3Lu5mwmIo7IQRf1g,1,1,,2,0.0946469541688,5.82842712475
cjgMpPvY2dgJ3vAq556SiA,1,0,,2,0.0391458760947,10.0
K9xTkwZX-ZdMWPK8EQOy6A,1,1,,2,0.0621504476942,9.19615242271
H9pG0BNhqID2MTj8KnY3jQ,1,0,,2,0.0577972722228,9.46410161514
hyXNS3tSmi6njhBjgo8eGw,1,1,,2,0.081464333403,8.02457954745
sDwwMNFTwYybM4FD26hVNQ,1,0,,1,0.0110856303492,10.7082039325
9jY0VAudPcYJjyokdZjy_w,1,1,,2,0.0925926165668,5.97469149469
twirfhS-LvbQjAoZjoxWOQ,1,0,,3,-0.00567221786262,12.0340269486
n2NRR4N-kmeDvhHJivHGkA,1,1,,0,0.0128881378132,10.94427191
swKNEf44cc_90GnM4ULm8w,1,0,,1,0.0446725781975,11.3937616528
Cx0wkl85Xdw9OCQkbXMjzQ,1,1,,0,0.026243758205,10.1224174949
2gL0aUIPqe4rw7bJqfAA_g,1,0,,0,-0.00721007344245,10.94427191
U8yokFD3LyLpw9Eyndv2ig,1,1,,2,0.056758723169,7.92820323028
Zrr8wJQOtTgdgh6i87Qrkw,1,1,,2,0.114976048813,5.82842712475
ik9VvawL-BeAqlxTI1leew,1,1,,2,0.0940413504005,4.82842712475
XjA20TYT3MtyYjNZa3S9Kg,0,0,,1,0.0536744552484,5.82842712475
CI5CAJPfD2IpP_Znm1_KiA,1,0,,2,0.0566807516283,9.96811878507
AED5R0yXVzJvWAGEqWBG4A,1,0,,0,0.0114554879967,11.8034449863
IDJwHQqQePBqIWX3723Ing,1,1,,0,0.00700485727171,10.4402547401
KRoJhHyPWORMJn1UO5kAkA,0,0,,1,0.0735984402951,7.61036598508
MC4becrrM9ntmnfMrD9b0g,1,1,,2,0.0588599448238,9.96811878507
PFAvETr4Vf6UY548TWvhFA,1,1,,0,0.0507134158392,10.2360679775
aql8K6zVoJDGRJ3P-IgtpQ,1,0,,1,0.0800762789078,7.70674230226
MM5Fdfqf87QpTkHIKZNVdg,1,1,,2,0.0306535007336,10.0
wT1mRdUeZRNgMB81s3dJDw,1,1,,3,-0.0247834182853,12.8362334188
zO2558leuUH9jeEs_8hfOQ,0,0,,0,0.00151431657789,11.1576936753
ALkOqlWODyxPg5VSp0HLrg,1,1,,3,0.0195020717212,9.73205080757
Hk1Q874UqawFXq0XzIIBYg,1,1,,3,0.0398153837817,9.73205080757
uLbwNH4tINbqx_88bFp17Q,1,1,,2,0.0552954136793,9.73205080757
RZv0iTHrFbw87sZg_45WHQ,1,0,,1,0.00311604685291,10.2041867626
dYJ7uBteyJiNHCLyK1ZOoQ,1,0,,1,0.0950098813811,8.34241679265
RQ6W7OLneDMrAiqNkRN6Rw,1,1,,2,0.106910275418,7.61036598508
oOGLDf2rzeCPS7UQ8hhPlQ,0,0,,1,-0.028507123822,12.2302885169
UpSHAMogY9ubMGbuNAV5nw,1,1,,2,0.0170192815435,10.7082039325
Z05x0rRLP93Rn2een6jRWg,1,0,,1,0.0641266903754,8.66025403784
QhAmKLX_0AgQe5HLxode9Q,1,0,2.58614028985,3,-0.0113737122421,11.5845372058
q9_gLvTNf11etVxbH7JY0Q,1,1,,3,0.0197363302588,10.1576936753
NoDhna4BsDhcl7xRPmZJzQ,1,1,,2,0.0812651432239,7.92820323028
CIsHnoLZHT24xwyT7FO09g,1,1,,2,0.0187239098844,10.7082039325
jTZYireK6pnPb6Rni0jygw,1,1,,2,0.0956446143541,6.65685424949
z6xwlHA_TgxmXSes3o2bbg,1,0,,1,0.012439911004,11.1803398875
ZxbUza8_Y17R18WcWehCmw,0,0,,1,0.04271950864,8.87831517751
n-5dPbGyziS0SOkVDTquFQ,1,1,,2,0.109611362387,5.82842712475
znu3EN7tDFIXmiTwKvX1Ow,1,1,,2,0.091774050357,6.65685424949
x5lg0hP_Q40pWPHOo8-rRw,1,0,,2,0.0406900666401,9.46410161514
P7CQtFeORdYNO2_305rEbw,1,1,,3,0.00657377464712,11.1576936753
kiGc-yk1z1JgqTq7t6CcwA,1,1,,3,0.0454785820315,10.94427191
IwfsKY_iM-pv83m1mJ12TQ,1,1,,2,0.0514657143204,8.34241679265
CN5nuUQod0f8g3oh99qq0w,1,1,,3,-0.00194679071155,9.96811878507
QIn3nMX3ywY8a2bCpyQcRA,1,1,,2,0.0870510732463,8.02457954745
1xqzw3Npo6aCTrMObhpA3Q,1,0,,1,0.0486026379975,9.14626436994
2eUVkmVjU4K0HJKZd_CaYQ,1,1,,2,0.037643994995,10.7082039325
-Ipm_8YXj9UoNNHagCvsNg,1,1,,2,0.0651951326768,8.34241679265
es3Uj0jMtHstkvwNNhihNQ,1,1,,2,0.0586546659612,9.73205080757
crstB-H5rOfbXhV8pX0e6g,1,1,,0,0.108899202384,3.0
PPDW3gtt0JojgXNYcSH1GA,1,1,,2,0.109392296008,5.24264068712
zW600wCsIlC2w5SQBNAo_w,1,1,,2,0.072419020468,8.61036598508
Orui3Cu-dQKOz1I0lKYEAg,0,0,,1,0.0722827052165,6.65685424949
dUN-x3fwRxLmfvn9IUOr6w,1,1,,2,0.0590504049239,8.46410161514
0a2O150ytxrDjDzXNfRWkA,1,1,,3,0.00081505581303,11.7636385771
5P2cIEeY8YJ0xDIfSgeXWg,1,1,,2,0.106892286618,7.38890505706
DT7iqs2I804ECr9p5VFMrA,1,1,,2,0.0905902366411,8.66025403784
gv7P6zobjlG0YKlhbgDnSQ,1,0,,1,0.0512506144381,9.19615242271
TjuSHnbPtB83R-1FzdBBgA,1,1,,2,0.0813142933729,7.61036598508
v_UM-AW9YYTCbWUNa-w1Gg,1,1,,2,0.0813512444084,8.34241679265
34OwRFftkT7t3iBquazJcg,1,1,,2,0.0930108991581,8.66025403784
k1lSQ4VIqEn36UL1zkb3dw,1,1,,0,0.0523614318793,9.73205080757
7TyK3oSb8I8iW-Ev6OfHEw,1,0,,1,0.0563243657076,8.02457954745
KRWa12MkvE7sgaEnNhSWtQ,1,1,,0,-0.0302204540176,11.8206051833
15SZ_CzigAyVUbsijFFQJg,1,1,,0,0.0674669522969,9.19615242271
9c-JiFCUpA2Y6yZlBlS7xg,1,0,,1,0.0415268942537,9.73205080757
sXLdPB6WWaAN_ZsEAmCF0w,1,1,,2,0.0991305222084,8.02457954745
zlsiSoZaNtQeMkdKl5K_hg,1,0,,1,-0.0047945275017,11.8206051833
_nUQ_iT_JEdkMN7c-wqkBQ,1,1,,0,0.0319724549313,9.19615242271
GMrFxo9zw2xoTfPV-jQlYg,0,0,,0,-0.00494912687209,11.8206051833
GHPsuPkFFazLPfh41vgEMg,0,1,,0,0.0263437375158,10.7082039325
exs56JDSWmPWQ3dQOdjHag,1,1,,2,0.0325092316695,9.46410161514
qIfw1ZXlbg8rvgvn7XUEhw,1,1,,2,0.0541877343544,8.61036598508
HUYEadSbGSQNHXFmT2Ujjw,1,1,,0,0.108899202384,3.0
6EVBc9kdc3Hd8KZkLVPnGA,0,1,,0,0.0165823773662,11.1803398875
c-Jxth7pZfPqsWwBQ7sn1Q,1,1,,2,0.0931022158775,6.65685424949
KFz1GXpdJmnprpP2NLCCLg,1,1,,0,0.00560870743312,10.94427191
DE89UdHFMCN6DtYWZuer5A,1,1,,0,0.0655625302671,5.24264068712
5WQzKY_Bo_ki0CfBxXgyZA,1,0,,1,0.0616495413166,6.87831517751
JmKgz6n7zn24F-WkgT-kiA,0,0,,1,0.0629003772908,7.29252873988
mw1638OeKOWKgAh6ypS5Ow,1,0,,1,0.0611753971221,9.14626436994
i-NdezhBkAP2zoZGwwariw,1,0,,1,0.0369187537655,10.7082039325
wtftZecNakP5WKwi-k0cYg,0,0,,1,0.0571881859519,5.82842712475
I_eCXujGAbl1JKrye_419w,0,0,,1,0.0695110724427,5.56047793232
5GCaHoHo547U7wkcoJDrmg,1,1,,2,0.094439021764,8.02457954745
g_cJGgtLSwFH0W9V2TnNyQ,1,1,,2,0.0500737559285,10.94427191
-w6VX94tbpA7joO748wN2w,1,1,,2,0.0964146635906,7.07106781187
3XVAfJQdX327pqNZg5KV5g,1,1,,2,0.042950089549,9.19615242271
hPXR-Bi8U-uz6TUViqmGpg,0,1,,0,-0.0121524135645,10.7082039325
d3vN5zc7rCSdan4xbfOEkA,1,1,,2,0.0459975580214,9.46410161514
qhagbvK-Pv4cGGghJ7gXBA,1,1,,2,0.106802255494,5.0
bGuxRBRKv7i1BKKfGbjxEw,1,1,2.81644339511,3,-0.0541589743097,12.5830052443
FB2zcyp_z1XEM5WngoO5Lg,1,1,,2,0.0292928212899,10.472135955
FiOPUj3j7Mca6QnDq0wMxw,1,0,,2,0.0323023139586,11.3937616528
yuFdJdrnfMp3cfXVwTXjjA,1,1,,2,0.0907425277223,8.34241679265
xu2I9EBWXV7SGHDbXA38iw,1,1,,2,0.0467190237634,9.46410161514
UVKi839mvCc9BrCmeJbitA,1,1,,2,0.0975269106876,6.65685424949
thzyiQZb16zD8wMliaEfRQ,1,1,,2,0.09317089173,6.24264068712
35SEr0cPTuoBJ1DYQ686pA,1,1,,2,0.0113034182256,10.472135955
F8NPhGJMLrZv5R3LysyO4Q,1,0,,1,0.0292601848404,9.11438315501
Ani778by6sGFd-whUdFwCA,1,0,,1,0.04683168399,9.46410161514
RvYjKtzdIPA2VBUpJJbzCw,1,1,,2,0.109716417322,6.24264068712
JLTxzBEW4IrhraaonG-vUw,1,1,,0,-0.0124844711165,11.0805200359
AYxhg8pCPpTayz6TYfNzFg,1,1,,2,0.0536252293015,9.19615242271
xMbr0C6EuvaDEhDXWTFUzg,1,1,,2,0.0925926165668,5.97469149469
GDyBweathNS9fqH9f2yOMQ,1,1,,0,0.0459628770741,9.93623757014
n-zs5Cxn8MeSVPtodzvqIg,1,1,,2,0.0403947452836,10.7082039325
LCb2moBNkcBto_32rmZJ5A,1,1,,2,0.12380780954,4.0
vcxzcp7D9IiyvyLlwpgvVg,1,0,,1,-0.00220359727099,8.46410161514
uA3DKoAMWMQ5u-yugh0CKw,0,0,,1,0.0335359339451,9.41421356237
7yRLFyhvaY5Nck3iSKDmxQ,1,0,,2,0.0525203677707,10.0
QjhrYO6LD5mrU0WI7jxZ-g,0,0,,1,0.0175532963383,8.34241679265
f3gE6ZZFd7jRBjTVgt-mAg,1,1,,0,0.040186941285,9.88634951737
26Kt6gQRF7S6m7crwR0tjw,1,0,,1,-0.0226951172636,10.6536765054
UOHwhOqB4cIKZ79xpJxTJw,1,0,,1,-0.00866247834719,11.1576936753
1HWH_BE_wMfX88cRoH-NCQ,1,0,,1,0.0230509954456,10.4402547401
MMGnDeqMUNQsLC5V6BINjQ,1,1,,2,0.12380780954,4.0
RqOgBMpKYdsEOmBVmFXe3g,1,1,,0,0.108899202384,3.0
6K_9C9qQ5sDrmbtEQKjU_g,0,0,,1,-0.0129060645194,10.94427191
f5O7v_X_jCg2itqacRfxhg,1,1,,0,0.0655625302671,5.24264068712
A3ZGt3MdwhKMNpi6qNNDMA,1,0,,2,0.0583157652662,6.97469149469
0e-j5VcEn54EZT-FKCUZdw,0,0,,1,0.0419166689296,8.02457954745
FYmWvvhqptkmJ1zOFQhukg,0,0,,1,0.0498151501868,8.66025403784
zoJZ_LgSBq3YznjrzXkG3Q,1,1,,2,0.0799354414231,8.66025403784
