"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","max"
"text1",0.0219298245614035,0.47719298245614,0.0298245614035088,0.093640350877193,0.00614035087719298,0.0475877192982456,0.0087719298245614,0.00942982456140351,0.00285087719298246,0.0416666666666667,0.121271929824561,0.0837719298245614,0.0225877192982456,0.0153508771929825,0.0179824561403509,2
"text2",0.00979298376100161,0.00421470187182348,0.00533035824965911,0.00718978554605182,0.0131399528945085,0.00421470187182348,0.00495847279038056,0.0142556092723441,0.00123961819759514,0.0105367546795587,0.00756167100533036,0.830172306929466,0.0406594768811206,0.00942109830172307,0.0373125077476137,12
"text3",0.0112498892727434,0.245903091505005,0.00726370803436974,0.00620072637080344,0.0168305430064665,0.011515634688635,0.0125786163522013,0.00593498095491186,0.0011515634688635,0.0598813003809018,0.532376649836124,0.0306493046328284,0.0335725042076358,0.00248029054832137,0.0224111967401896,11
"text4",0.461073318216175,0.09145880574452,0.00925925925925926,0.00982615268329554,0.0568783068783069,0.0750188964474679,0.00472411186696901,0.0126606198034769,0.00529100529100529,0.0495086923658352,0.0455404383975813,0.044973544973545,0.0971277399848828,0.0103930461073318,0.0262660619803477,1
"text5",0.25192410585669,0.173642836564185,0.074124377495164,0.0095485039305264,0.023871259826316,0.00547392682224143,0.00263407004980039,0.0023871259826316,0.000535045478865704,0.334033008190312,0.041157344528131,0.0183150183150183,0.0565913487261802,0.00164629378112524,0.0041157344528131,10
"text6",0.00252047889098929,0.0865064362228823,0.00279053020073814,0.82833738410298,0.0292555585561257,0.0041407867494824,0.00198037627149158,0.00198037627149158,0.000900171032496174,0.00441083805923125,0.00333063282023584,0.00333063282023584,0.0208839679539112,0.00171032496174273,0.00792150508596633,4
"text7",0.310088551549652,0.0278304870335231,0.0562934851359899,0.00316255534471853,0.00482289690069576,0.00268817204301075,0.008617963314358,0.104917773561037,0.000790638836179633,0.053921568627451,0.019291587602783,0.125079063883618,0.00197659709044908,0.0112270714737508,0.269291587602783,1
"text8",0.370439084724799,0.0170068027210884,0.0216450216450216,0.0318491032776747,0.0105132962275819,0.00309214594928881,0.0244279529993816,0.0401978973407545,0.00401978973407545,0.3147804576376,0.0364873222016079,0.046691403834261,0.0541125541125541,0.0095856524427953,0.0151515151515152,1
"text9",0.0336879432624113,0.0283687943262411,0.0177304964539007,0.0549645390070922,0.0283687943262411,0.0443262411347518,0.0283687943262411,0.0230496453900709,0.0230496453900709,0.0283687943262411,0.0443262411347518,0.225177304964539,0.0815602836879433,0.0549645390070922,0.283687943262411,15
"text10",0.180095712471921,0.0230491258912003,0.0713936907901162,0.00913175114757301,0.00576228147280008,0.0182146694013087,0.00576228147280008,0.00517628674675261,0.000488328938372888,0.132337142299053,0.230051762867468,0.0809161050883875,0.176433245434124,0.0127942181853697,0.0483933977927532,11
"text11",0.0108137334414707,0.492565558258989,0.011624763449581,0.027845363611787,0.019735063530684,0.0254122735874561,0.00838064341713977,0.00432549337658827,0.0246012435793458,0.0319005136523385,0.125979994593133,0.188429305217626,0.0148688834820222,0.00594755339280887,0.00756961340902947,2
"text12",0.0338865836791148,0.0338865836791148,0.0442600276625173,0.0255878284923928,0.00691562932226833,0.0255878284923928,0.0110650069156293,0.0338865836791148,0.00691562932226833,0.0172890733056708,0.104426002766252,0.589903181189488,0.0214384508990318,0.0152143845089903,0.0297372060857538,12
"text13",0.00151197953012328,0.0154687136543382,0.00883926494533612,0.00674575482670388,0.0182600604791812,0.00535008141428239,0.00535008141428239,0.0318678762502908,0.00116306117701791,0.0091881832984415,0.0039544080018609,0.17143521749244,0.0193068155384973,0.00535008141428239,0.696208420562922,15
"text14",0.0218637992831541,0.176702508960573,0.0164874551971326,0.0283154121863799,0.0240143369175627,0.381003584229391,0.00465949820788531,0.00788530465949821,0.003584229390681,0.003584229390681,0.0272401433691756,0.0422939068100358,0.210035842293907,0.0229390681003584,0.0293906810035842,6
