"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","pork","tea","chicken","sushi","dim"
"2","chicken","thai","chinese","menu","sum"
"3","burger","pho","rice","roll","vegas"
"4","fries","milk","soup","ordered","table"
"5","delicious","curry","fried","rolls","buffet"
"6","ordered","boba","noodles","bar","night"
"7","sauce","pad","ordered","happy","pretty"
"8","meat","drink","beef","dinner","line"
"9","korean","bubble","sauce","server","wait"
"10","ramen","vietnamese","dishes","delicious","club"
"11","menu","ice","dish","fresh","duck"
"12","rice","drinks","lunch","hour","long"
"13","amazing","mango","hot","amazing","bad"
"14","bowl","green","pork","experience","experience"
"15","fried","sweet","noodle","night","price"
"16","side","taste","menu","table","drinks"
"17","belly","coconut","spicy","staff","friends"
"18","wait","sugar","shrimp","eat","room"
"19","vegas","tom","egg","salad","2"
"20","beef","essen","delicious","drinks","dinner"
"21","taste","jelly","eat","meal","tao"
"22","flavor","teas","dumplings","pretty","lobster"
"23","friendly","basil","pretty","atmosphere","selection"
"24","spicy","taiwanese","fresh","friendly","seafood"
"25","pretty","super","taste","fish","3"
"26","sweet","cafe","friendly","lunch","floor"
"27","bit","coffee","meal","made","lot"
"28","eat","places","meat","excellent","group"
"29","made","tapioca","price","tuna","10"
"30","small","satay","sour","quality","pay"
