"","X1","X2","X3","X4","X5","max"
"text1",0.0690789473684211,0.0539473684210526,0.682236842105263,0.0401315789473684,0.154605263157895,3
"text2",0.0401636296020826,0.00632205280773522,0.872815172926739,0.0546671625139457,0.026031982149498,3
"text3",0.119851182567101,0.00425192665426521,0.739038001594473,0.0255115599255913,0.11134732925857,3
"text4",0.54421768707483,0.0600907029478458,0.14172335600907,0.150226757369615,0.103741496598639,1
"text5",0.343128781331029,0.0703790591431041,0.324854920360538,0.217187307074948,0.0444499320903815,1
"text6",0.0486092357547934,0.506076154469349,0.0904671887658655,0.0586011342155009,0.296246286794491,2
"text7",0.664136622390892,0.0113851992409867,0.291271347248577,0.0249051233396584,0.00830170777988615,1
"text8",0.526901669758813,0.0398886827458256,0.207792207792208,0.189239332096475,0.036178107606679,1
"text9",0.159574468085106,0.0797872340425532,0.457446808510638,0.122340425531915,0.180851063829787,3
"text10",0.301933782595957,0.0297392323469089,0.385145033694697,0.232639906240844,0.0505420451215939,3
"text11",0.0502838605028386,0.0583941605839416,0.67558799675588,0.0340632603406326,0.181670721816707,3
"text12",0.0580912863070539,0.0269709543568465,0.763485477178423,0.0933609958506224,0.0580912863070539,3
"text13",0.226448011165387,0.00697836706210747,0.621074668527565,0.109560362875087,0.0359385903698535,3
"text14",0.0494623655913978,0.0247311827956989,0.208602150537634,0.0709677419354839,0.646236559139785,5
"text15",0.105,0.12,0.555,0.105,0.115,3
"text16",0.0608695652173913,0.0173913043478261,0.839613526570048,0.0454106280193237,0.0367149758454106,3
"text17",0.142331932773109,0.29936974789916,0.188550420168067,0.320903361344538,0.0488445378151261,4
"text18",0.0657193605683837,0.0230905861456483,0.715808170515098,0.156305506216696,0.0390763765541741,3
"text19",0.194558944765045,0.0849134377576257,0.562242374278648,0.0239076669414674,0.134377576257214,3
"text20",0.680389552899513,0.0115095174856131,0.17220008853475,0.0867640548915449,0.049136786188579,1
"text21",0.289976533690915,0.00804559168622192,0.618169627891385,0.0398927254441837,0.0439155212872947,3
"text22",0.311602209944751,0.111602209944751,0.496132596685083,0.0342541436464088,0.0464088397790055,3
"text23",0.0438463208161493,0.00716301280659865,0.331235077056653,0.603646624701541,0.014108964619058,4
"text24",0.0725856697819315,0.00498442367601246,0.40809968847352,0.0753894080996885,0.438940809968847,5
"text25",0.109090909090909,0.0272727272727273,0.565909090909091,0.0795454545454545,0.218181818181818,3
"text26",0.0604143602720228,0.141230428594022,0.470504507354104,0.298592440297327,0.0292582634825241,3
"text27",0.1,0.109090909090909,0.475757575757576,0.157575757575758,0.157575757575758,3
"text28",0.115079365079365,0.0555555555555556,0.615079365079365,0.123015873015873,0.0912698412698413,3
"text29",0.196796338672769,0.0434782608695652,0.535469107551487,0.157894736842105,0.0663615560640732,3
"text30",0.112103980503656,0.0698619008935824,0.545085296506905,0.0617384240454915,0.211210398050366,3
"text31",0.0155199172271081,0.201241593378169,0.301603724780135,0.0377651319192964,0.443869632695292,5
"text32",0.119047619047619,0.0333333333333333,0.523809523809524,0.130952380952381,0.192857142857143,3
"text33",0.0229312063808574,0.0159521435692921,0.902293120638086,0.0274177467597208,0.0314057826520439,3
"text34",0.0259502923976608,0.070906432748538,0.358187134502924,0.489400584795322,0.0555555555555556,4
"text35",0.626162790697674,0.00313953488372093,0.276162790697674,0.0651162790697674,0.0294186046511628,1
"text36",0.347955591659897,0.00352017330083943,0.133225020308692,0.485648524235039,0.0296506904955321,4
"text37",0.0838323353293413,0.0658682634730539,0.589820359281437,0.155688622754491,0.104790419161677,3
"text38",0.0879828326180258,0.0300429184549356,0.628755364806867,0.130901287553648,0.122317596566524,3
"text39",0.164604626143088,0.00537923614846692,0.409628832705756,0.401022054868209,0.0193652501344809,3
"text40",0.0640614990390775,0.530429212043562,0.155028827674568,0.105060858424087,0.145419602818706,2
