"","X1","X2","X3","X4","X5","max"
"text1",0.0817535545023697,0.597156398104265,0.12085308056872,0.181279620853081,0.018957345971564,2
"text2",0.105932203389831,0.614406779661017,0.133474576271186,0.108050847457627,0.038135593220339,2
"text3",0.105010893246187,0.647058823529412,0.184749455337691,0.0427015250544662,0.020479302832244,2
"text4",0.0117743254292723,0.0035977105478332,0.949304987735078,0.0328699918233851,0.00245298446443173,3
"text5",0.189728958630528,0.0171184022824536,0.777053189321378,0.0136539637252904,0.00244548604035052,3
"text6",0.432024611778494,0.0210958101377088,0.434954585408731,0.10914151772634,0.00278347494872546,3
"text7",0.066793893129771,0.709446564885496,0.160782442748092,0.036736641221374,0.0262404580152672,2
"text8",0.311279143037177,0.247321991178324,0.0207939508506616,0.413358538122243,0.0072463768115942,4
"text9",0.155495103373232,0.818715995647443,0.00663764961915125,0.0162132752992383,0.0029379760609358,2
"text10",0.0113941018766756,0.469436997319035,0.0687667560321716,0.447184986595174,0.0032171581769437,2
"text11",0.758199581297976,0.0429169574319609,0.170621074668528,0.0230286113049546,0.0052337752965806,1
"text12",0.0709581824168587,0.00798485347382285,0.793216990451103,0.126852156733619,0.000987816924596642,3
"text13",0.0492462311557789,0.186934673366834,0.273366834170854,0.4321608040201,0.0582914572864322,4
"text14",0.109452736318408,0.0812603648424544,0.462686567164179,0.182421227197347,0.164179104477612,3
"text15",0.173376623376623,0.652922077922078,0.0262987012987013,0.141233766233766,0.00616883116883117,2
"text16",0.0692897797574858,0.410913140311804,0.100841375897055,0.416233605543182,0.00272209849047266,4
"text17",0.0904098014364174,0.75496408956485,0.100126742712294,0.0456273764258555,0.00887198986058302,2
"text18",0.735501173315454,0.0241367750586658,0.219577606436473,0.0164264163593698,0.00435802883003688,1
"text19",0.47992185804211,0.394833948339483,0.106576948122422,0.0136748426307792,0.00499240286520512,1
"text20",0.750155763239875,0.12398753894081,0.0688473520249221,0.0507788161993769,0.00623052959501558,1
"text21",0.0845070422535211,0.372599231754161,0.0704225352112676,0.0857874519846351,0.386683738796415,5
"text22",0.498172514619883,0.277046783625731,0.175438596491228,0.0358187134502924,0.0135233918128655,1
"text23",0.210127267803953,0.0779853777416734,0.421473057135121,0.287029515299215,0.00338478202003791,3
"text24",0.0752032520325203,0.695121951219512,0.149390243902439,0.0558943089430894,0.024390243902439,2
"text25",0.417697686928456,0.452931683700914,0.106777837547068,0.013986013986014,0.00860677783754707,2
"text26",0.0397308140287304,0.576549760579785,0.24265562313964,0.136534230619904,0.00452957163193995,2
"text27",0.0922004132231405,0.670196280991736,0.0914256198347107,0.136880165289256,0.00929752066115703,2
"text28",0.0802828618968386,0.74459234608985,0.105865224625624,0.0667637271214642,0.00249584026622296,2
"text29",0.155193683691093,0.689242536392795,0.0604490500863558,0.0925240562546262,0.00259067357512953,2
"text30",0.293478260869565,0.482608695652174,0.123913043478261,0.058695652173913,0.041304347826087,2
"text31",0.134470190054673,0.0314588214874599,0.0771500477306257,0.755532413434002,0.00138852729323961,4
"text32",0.444607268464244,0.489742086752638,0.0398593200468933,0.0211019929660023,0.00468933177022274,2
"text33",0.559948979591837,0.252551020408163,0.0637755102040816,0.103316326530612,0.0204081632653061,1
"text34",0.149863760217984,0.743869209809264,0.0619891008174387,0.029291553133515,0.0149863760217984,2
"text35",0.0506024096385542,0.808835341365462,0.0803212851405622,0.0526104417670683,0.00763052208835341,2
"text36",0.166201117318436,0.582402234636871,0.121508379888268,0.0837988826815642,0.0460893854748603,2
"text37",0.0090914388950405,0.263651727956175,0.0280902150474969,0.698350719738912,0.00081589836237543,4
"text38",0.25,0.308333333333333,0.116666666666667,0.208333333333333,0.116666666666667,2
"text39",0.160714285714286,0.392857142857143,0.169642857142857,0.191964285714286,0.0848214285714286,2
"text40",0.116691285081241,0.547267355982275,0.0361890694239291,0.0553914327917282,0.244460856720827,2
"text41",0.654205607476635,0.16588785046729,0.102803738317757,0.044392523364486,0.0327102803738318,1
"text42",0.163916391639164,0.435643564356436,0.319031903190319,0.0638063806380638,0.0176017601760176,2
"text43",0.0597091094667007,0.022454707833631,0.849961724929829,0.0635366164837969,0.00433784128604236,3
"text44",0.155080213903743,0.441176470588235,0.0748663101604278,0.0668449197860963,0.262032085561497,2
"text45",0.44188767550702,0.0967238689547582,0.398595943837753,0.0339313572542902,0.0288611544461778,1
"text46",0.350897819581018,0.61340316374519,0.0204147071398033,0.013253527148354,0.00203078238563489,2
"text47",0.533489567583913,0.0111883882673118,0.293543997580889,0.159132143937103,0.00264590263078319,1
"text48",0.127480158730159,0.531498015873016,0.136160714285714,0.202008928571429,0.00285218253968254,2
"text49",0.0759803921568627,0.598039215686274,0.269607843137255,0.0343137254901961,0.0220588235294118,2
"text50",0.206676743116252,0.71715844121706,0.0316751002168627,0.04330682788986,0.00118288755996583,2
"text51",0.149644670050761,0.0844670050761421,0.269238578680203,0.491979695431472,0.00467005076142132,4
"text52",0.115068493150685,0.0582191780821918,0.662328767123288,0.154109589041096,0.0102739726027397,3
"text53",0.244147157190635,0.304347826086957,0.1438127090301,0.247491638795987,0.0602006688963211,2
"text54",0.263581488933602,0.482897384305835,0.158953722334004,0.062374245472837,0.0321931589537223,2
"text55",0.179547596606975,0.712064090480679,0.0457115928369463,0.0513666352497644,0.0113100848256362,2
"text56",0.683773816840811,0.183159188690842,0.0611555009219422,0.0673017824216349,0.00460971112476951,1
"text57",0.160337552742616,0.118143459915612,0.421940928270042,0.223628691983122,0.0759493670886076,3
"text58",0.19404973357016,0.0430728241563055,0.574600355239787,0.0981349911190053,0.0901420959147425,3
"text59",0.192393736017897,0.598434004474273,0.0727069351230425,0.123042505592841,0.0134228187919463,2
"text60",0.476343335659456,0.458897418004187,0.0293091416608514,0.0330774598743894,0.00237264480111654,1
"text61",0.177748691099476,0.691361256544503,0.0489528795811518,0.074869109947644,0.00706806282722513,2
"text62",0.299894403379092,0.568637803590285,0.0385427666314678,0.0828933474128828,0.0100316789862724,2
"text63",0.284239631336406,0.228755760368664,0.162396313364055,0.237603686635945,0.0870046082949309,1
"text64",0.167788057190917,0.688814129520606,0.0479394449116905,0.0874684608915055,0.00798990748528175,2
"text65",0.4,0.130434782608696,0.226086956521739,0.156521739130435,0.0869565217391304,1
"text66",0.105769230769231,0.115384615384615,0.0961538461538462,0.125,0.557692307692308,5
"text67",0.579385403329065,0.0361258459850009,0.214285714285714,0.168648253155295,0.00155478324492409,1
"text68",0.123663412366341,0.596931659693166,0.0874012087401209,0.135285913528591,0.0567178056717806,2
"text69",0.284865629420085,0.558132956152758,0.0528995756718529,0.0978783592644979,0.00622347949080622,2
"text70",0.252946509519492,0.0412511332728921,0.0548504079782412,0.637352674524025,0.013599274705349,4
"text71",0.134387351778656,0.494071146245059,0.122529644268775,0.1699604743083,0.0790513833992095,2
"text72",0.29277566539924,0.121673003802281,0.448669201520913,0.0874524714828897,0.0494296577946768,3
"text73",0.501457725947522,0.12069970845481,0.338775510204082,0.0227405247813411,0.0163265306122449,1
"text74",0.0923845193508115,0.791510611735331,0.0387016229712859,0.0624219725343321,0.0149812734082397,2
"text75",0.183098591549296,0.404929577464789,0.0985915492957746,0.267605633802817,0.0457746478873239,2
"text76",0.166494845360825,0.604639175257732,0.166494845360825,0.0432989690721649,0.0190721649484536,2
"text77",0.361165048543689,0.531391585760518,0.0394822006472492,0.0576051779935275,0.0103559870550162,2
"text78",0.389988358556461,0.302240977881257,0.119615832363213,0.0493306169965076,0.138824214202561,1
"text79",0.442516268980477,0.125813449023861,0.190889370932755,0.203904555314534,0.0368763557483731,1
"text80",0.155052264808362,0.329268292682927,0.144599303135889,0.294425087108014,0.0766550522648084,2
"text81",0.142857142857143,0.126984126984127,0.150793650793651,0.126984126984127,0.452380952380952,5
"text82",0.600705247873885,0.320472930927194,0.0114084214893176,0.0622277535780958,0.00518564613150799,1
"text83",0.699532085561497,0.227941176470588,0.0292446524064171,0.0394385026737968,0.00384358288770053,1
"text84",0.198534310459694,0.616255829447035,0.13124583610926,0.0433044636908727,0.0106595602931379,2
"text85",0.399339933993399,0.165016501650165,0.181518151815182,0.155115511551155,0.099009900990099,1
"text86",0.399055489964581,0.358913813459268,0.132231404958678,0.076741440377804,0.0330578512396694,1
"text87",0.432643935159307,0.0396869759642258,0.424259362772499,0.0586920067076579,0.0447177193963108,1
"text88",0.0877880184331797,0.0256912442396313,0.863940092165899,0.0200460829493088,0.00253456221198157,3
"text89",0.109450337512054,0.753375120540019,0.0318225650916104,0.101976856316297,0.00337512054001929,2
"text90",0.253246753246753,0.422077922077922,0.168831168831169,0.0844155844155844,0.0714285714285714,2
"text91",0.239052035033488,0.537867078825348,0.0546110252447192,0.15816589386914,0.0103039670273055,2
"text92",0.151462134466383,0.786803299175206,0.0194951262184454,0.0344913771557111,0.00774806298425394,2
"text93",0.0458015267175573,0.505089058524173,0.0801526717557252,0.338422391857506,0.0305343511450382,2
"text94",0.0981432360742706,0.315649867374005,0.392572944297082,0.124668435013263,0.0689655172413793,3
"text95",0.347560975609756,0.24390243902439,0.201219512195122,0.134146341463415,0.0731707317073171,1
"text96",0.0399728997289973,0.0589430894308943,0.847560975609756,0.0457317073170732,0.00779132791327913,3
"text97",0.578571428571429,0.149450549450549,0.0862637362637363,0.179120879120879,0.00659340659340659,1
"text98",0.607521042628292,0.322970404561499,0.0211783871843606,0.046022264458322,0.00230790116752647,1
"text99",0.147370959961409,0.607814761215629,0.029064158224795,0.213579353593825,0.00217076700434153,2
"text100",0.115935735996526,0.754233608336952,0.0208423795049935,0.0990013026487191,0.00998697351280938,2
"text101",0.0469483568075117,0.707746478873239,0.140845070422535,0.073943661971831,0.0305164319248826,2
"text102",0.093213058419244,0.645189003436426,0.131872852233677,0.121563573883162,0.00816151202749141,2
"text103",0.28735632183908,0.160919540229885,0.160919540229885,0.252873563218391,0.137931034482759,1
"text104",0.407502863688431,0.376431844215349,0.111683848797251,0.102233676975945,0.00214776632302406,1
"text105",0.0612316305108467,0.483554933519944,0.0314905528341498,0.413925822253324,0.00979706088173548,2
"text106",0.0616365568544102,0.704569606801275,0.153028692879915,0.0648246546227418,0.0159404888416578,2
"text107",0.199120166705256,0.540402871034962,0.0318360731650845,0.226325538319055,0.00231535077564251,2
"text108",0.511794439764111,0.369418702611626,0.0240101095197978,0.088458298230834,0.006318449873631,1
"text109",0.0386949924127466,0.0250379362670713,0.769347496206373,0.157814871016692,0.00910470409711684,3
"text110",0.0770348837209302,0.387112403100775,0.296027131782946,0.188953488372093,0.0508720930232558,2
"text111",0.155747540196784,0.817014638828894,0.0107991360691145,0.0147588192944564,0.00167986561075114,2
"text112",0.053709691142687,0.16534076406024,0.0157193907938399,0.763400833829661,0.0018293201735727,4
"text113",0.102162331557505,0.0560952679410843,0.772798495769351,0.0636164211845816,0.00532748354747728,3
"text114",0.0903940886699507,0.105418719211823,0.257635467980296,0.540886699507389,0.00566502463054187,4
"text115",0.593837535014006,0.11484593837535,0.19327731092437,0.061624649859944,0.0364145658263305,1
"text116",0.0665467625899281,0.634892086330935,0.102517985611511,0.0719424460431655,0.12410071942446,2
"text117",0.418147801683817,0.0500467726847521,0.445743685687558,0.0720299345182413,0.0140318054256314,3
"text118",0.0941176470588235,0.515686274509804,0.227450980392157,0.13921568627451,0.0235294117647059,2
"text119",0.157257142857143,0.461257142857143,0.0694857142857143,0.3056,0.0064,2
"text120",0.143337334933974,0.442016806722689,0.166146458583433,0.244177671068427,0.00432172869147659,2
"text121",0.117293233082707,0.7,0.125563909774436,0.0368421052631579,0.0203007518796992,2
"text122",0.110262008733624,0.631550218340611,0.152292576419214,0.0990720524017467,0.00682314410480349,2
"text123",0.333518107908352,0.368070953436807,0.0489652623798965,0.246674057649667,0.00277161862527716,2
"text124",0.0878136200716846,0.829151732377539,0.00649641577060932,0.0729540023894863,0.003584229390681,2
"text125",0.722011898323418,0.155759870200108,0.0670632774472688,0.0459707950243375,0.0091941590048675,1
"text126",0.0813159528243327,0.516449410304159,0.203600248292986,0.162631905648665,0.0360024829298572,2
"text127",0.177508269018743,0.247335538404998,0.535464902609335,0.0334435869165748,0.00624770305034914,3
"text128",0.456513144890295,0.501284838900969,0.0129472227712987,0.026882783158727,0.00237201027871121,2
"text129",0.205185185185185,0.607407407407407,0.0755555555555556,0.097037037037037,0.0148148148148148,2
"text130",0.116976683259104,0.261723866911187,0.042572701074142,0.571522137804559,0.00720461095100865,4
"text131",0.404411764705882,0.125,0.220588235294118,0.169117647058824,0.0808823529411765,1
"text132",0.512908124525437,0.348139711465452,0.0189825360668185,0.114274867122248,0.00569476082004556,1
"text133",0.128813559322034,0.473728813559322,0.0449152542372881,0.121186440677966,0.23135593220339,2
"text134",0.228571428571429,0.364285714285714,0.178571428571429,0.142857142857143,0.0857142857142857,2
"text135",0.685421591804571,0.210874704491726,0.00291568163908589,0.0983451536643026,0.00244286840031521,1
"text136",0.0360408821947283,0.860677783754707,0.0623991393222162,0.0317374932759548,0.00914470145239376,2
"text137",0.293067539422791,0.0642665873252008,0.301100862838441,0.218387384706932,0.123177625706635,3
"text138",0.453020134228188,0.20503355704698,0.295302013422819,0.0406040268456376,0.00604026845637584,1
"text139",0.117401668653159,0.756853396901073,0.0810488676996424,0.0369487485101311,0.00774731823599523,2
"text140",0.00700053850296177,0.0107700592353258,0.00969305331179321,0.00915455035002692,0.963381798599892,5
"text141",0.114210985178727,0.770706190061029,0.0675675675675676,0.0405405405405405,0.00697471665213601,2
"text142",0.0348399246704331,0.00918079096045198,0.891007532956685,0.0612052730696798,0.00376647834274953,3
"text143",0.201923076923077,0.173076923076923,0.192307692307692,0.134615384615385,0.298076923076923,5
